Index-1,Index-2,$,Brent
0.103091,0.103501,0.438128,0.804416
0.104659,0.103091,0.434769,0.784079
0.107391,0.104659,0.43163,0.796746
0.107979,0.107391,0.420643,0.78803
0.106974,0.107979,0.425352,0.716909
0.108011,0.106974,0.415589,0.716909
0.109185,0.108011,0.411163,0.705171
0.109139,0.109185,0.410912,0.735503
0.110544,0.109139,0.398575,0.735503
0.110765,0.110544,0.403221,0.72423
0.110933,0.110765,0.404571,0.723998
0.112249,0.110933,0.404947,0.69541
0.112641,0.112249,0.406077,0.721906
0.11459,0.112641,0.423594,0.721092
0.114561,0.11459,0.418634,0.708542
0.114074,0.114561,0.414427,0.723998
0.112983,0.114074,0.411069,0.721906
0.112505,0.112983,0.408086,0.758977
0.114224,0.112505,0.408086,0.748983
0.116681,0.114224,0.414019,0.745381
0.117899,0.116681,0.411226,0.746543
0.119572,0.117899,0.406203,0.760256
0.119551,0.119572,0.403378,0.748286
0.118872,0.119551,0.398669,0.757699
0.119427,0.118872,0.401808,0.729111
0.119748,0.119427,0.400082,0.74201
0.118065,0.119748,0.406203,0.747008
0.118547,0.118065,0.404884,0.749216
0.119897,0.118547,0.401526,0.74201
0.119639,0.119897,0.400019,0.746659
0.120074,0.119639,0.400176,0.776293
0.120547,0.120074,0.39553,0.776409
0.121977,0.120547,0.392391,0.777223
0.121845,0.121977,0.379834,0.770947
0.118461,0.121845,0.373211,0.73864
0.118712,0.118461,0.357515,0.723998
0.118543,0.118712,0.365645,0.730273
0.120093,0.118543,0.373462,0.730273
0.121727,0.120093,0.373556,0.736549
0.120871,0.121727,0.386113,0.742708
0.121634,0.120871,0.382754,0.73283
0.121351,0.121634,0.379646,0.735619
0.121374,0.121351,0.381404,0.736432
0.121453,0.121374,0.378014,0.738408
0.12165,0.121453,0.378265,0.751656
0.122395,0.12165,0.374906,0.749216
0.122399,0.122395,0.376413,0.712028
0.122916,0.122399,0.373556,0.712028
0.123478,0.122916,0.373273,0.694131
0.122908,0.123478,0.374874,0.686694
0.12274,0.122908,0.373368,0.658803
0.122809,0.12274,0.370417,0.677397
0.123083,0.122809,0.367278,0.679372
0.12367,0.123083,0.366995,0.711214
0.125544,0.12367,0.368596,0.682045
0.126481,0.125544,0.367152,0.695061
0.128014,0.126481,0.365457,0.700407
0.12987,0.128014,0.363825,0.687159
0.129504,0.12987,0.35943,0.683324
